type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
java,资深java开发工程师[余杭区],Fordeal,20000,40000,经验3-5年,本科,电商平台 / C轮 / 500-2000人,500-2000,电商平台,年终奖 周末双休 晋升机制,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/05/0D/CioPOWAvlJyAbSw8AABd4Z57kME280.png,杭州
java,JAVA开发工程师-杭州[上城区],亚信科技,8000,10000,经验1-3年,本科,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上",2000,软件服务｜咨询,团队氛围好,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/A1/42/CgotOVvS-F2ARLCqAAGhhVXKtLw993.jpg,杭州
java,大数据java开发工程师[潮鸣],兴业数金,16000,22000,经验3-5年,本科,科技金融 / 不需要融资 / 500-2000人,500-2000,Hibernate/科技金融/架构师/金融业/Spring,六险一金，定期体验，团建,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/79/CC/CgotOVttVjSAesI6AAKE45VCRRc354.png,杭州
java,java开发工程师[仓前],天猫,15000,30000,经验在校,应届,电商平台 / 上市公司 / 2000人以上,2000,后端工程师/电商平台/物流｜运输,参与核心系统的设计与开发,https://www.lgstatic.com/thumbnail_120x120/i/image2/M00/26/CA/CgoB5lofsguAfk9ZAACoL3r4p24865.jpg,杭州
java,Java开发[钱塘区],陕西凉温信息科技有限公司,10000,15000,经验不限,本科,无,[0],,"五险一金,全勤奖,绩效奖金",https://www.lgstatic.com/thumbnail_120x120/10/61fa09b3667c43419132f263a880c31f.png,杭州
java,Java开发工程师[西湖区],浙江安通,12000,15000,经验3-5年,本科,房地产｜建筑｜物业 / 不需要融资 / 50-150人,50-150,房地产｜建筑｜物业,"五险一金,专业培训,年终奖金",https://www.lgstatic.com/thumbnail_120x120/10/7475f2081af240f7ba9e3e84990da11e.png,杭州
java,Java工程师[上城区],中航国际,10000,15000,经验1-3年,本科,贸易｜进出口 / 不需要融资 / 50-150人,50-150,贸易｜进出口,"五险一金,绩效奖金,定期体检",https://www.lgstatic.com/thumbnail_120x120/10/27fc7ba554864dc7ad663b6c0d05fd06.png,杭州
java,高级Java开发工程师[滨江区],中材邦业,18000,25000,经验5-10年,本科,无,[0],,"五险一金,绩效奖金,定期体检",https://www.lgstatic.com/thumbnail_120x120/10/70b6ff646d224b9688017ea460f0302b.png,杭州
java,后端资深Java开发工程师[西湖区],GreenClean,10000,20000,经验5-10年,本科,能源｜矿产｜环保 / 不需要融资 / 15-50人,15-50,能源｜矿产｜环保,"五险一金,年终奖金",https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,杭州
java,java 工程师[滨江区],杭州加速科技有限公司,12000,24000,经验1-3年,本科,网络通信 / 不需要融资 / 150-500人,150-500,网络通信,"五险一金,绩效奖金,定期体检",https://www.lgstatic.com/thumbnail_120x120/10/c71566be2ac94223a5498d76ace3e601.png,杭州
java,资深Java开发工程师[萧山区],浙江东安检测技术有限公司,15000,20000,经验5-10年,本科,无,[0],,"五险一金,定期体检,员工旅游",https://www.lgstatic.com/thumbnail_120x120/10/de1ddc7518174f819b55524608cf1cfc.png,杭州
